input	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	delta_vs_fold_bytes	delta_vs_fold_pct	encode_ms	decode_ms	ok
src/corpus.rs	order0	20434	8516	2950	5566	0	-744	-8.0346	0.000	0.000	1
src/corpus.rs	order1_byte	20434	10973	10	10963	0	1713	18.4989	0.000	0.000	1
src/corpus.rs	order1_tok	20434	8699	2950	5749	0	-561	-6.0583	0.000	0.000	1
src/dict.rs	context	18127	8409	2534	5875	0	-345	-3.9411	34.018	6.709	1
src/dict.rs	fold	18127	8754	3419	5335	0	0	0.0000	0.000	0.000	1
src/dict.rs	order0	18127	8106	2530	5576	0	-648	-7.4023	0.000	0.000	1
src/dict.rs	order1_byte	18127	10565	10	10555	0	1811	20.6877	0.000	0.000	1
src/dict.rs	order1_tok	18127	8295	2530	5765	0	-459	-5.2433	0.000	0.000	1
src/dictbench.rs	context	12784	5988	2154	3834	0	-418	-6.5251	20.387	5.334	1
src/dictbench.rs	fold	12784	6406	2944	3462	0	0	0.0000	0.000	0.000	1
src/dictbench.rs	order0	12784	5810	2150	3660	0	-596	-9.3038	0.000	0.000	1
src/dictbench.rs	order1_byte	12784	7575	10	7565	0	1169	18.2485	0.000	0.000	1
src/dictbench.rs	order1_tok	12784	5939	2150	3789	0	-467	-7.2900	0.000	0.000	1
src/grammar.rs	context	63302	21564	4114	17450	0	-280	-1.2818	191.995	17.050	1
src/grammar.rs	fold	63302	21844	5394	16450	0	0	0.0000	0.000	0.000	1
src/grammar.rs	order0	63302	20946	4110	16836	0	-898	-4.1110	0.000	0.000	1
src/grammar.rs	order1_byte	63302	30783	10	30773	0	8939	40.9220	0.000	0.000	1
src/grammar.rs	order1_tok	63302	21216	4110	17106	0	-628	-2.8749	0.000	0.000	1
src/main.rs	context	119323	40007	8228	31779	0	-799	-1.9580	195.451	16.537	1
src/main.rs	fold	119323	40806	10788	30018	0	0	0.0000	0.000	0.000	1
src/main.rs	order0	119323	38994	8220	30774	0	-1812	-4.4405	0.000	0.000	1
src/main.rs	order1_byte	119323	57700	20	57680	0	16894	41.4008	0.000	0.000	1
src/main.rs	order1_tok	119323	39414	8220	31194	0	-1392	-3.4113	0.000	0.000	1
src/spectral.rs	context	6705	3510	1110	2400	0	-236	-6.3001	8.592	3.339	1
src/spectral.rs	fold	6705	3746	1639	2107	0	0	0.0000	0.000	0.000	1
src/spectral.rs	order0	6705	3353	1106	2247	0	-393	-10.4912	0.000	0.000	1
src/spectral.rs	order1_byte	6705	4110	10	4100	0	364	9.7170	0.000	0.000	1
src/spectral.rs	order1_tok	6705	3480	1106	2374	0	-266	-7.1009	0.000	0.000	1
src/table.rs	context	41724	16355	4114	12241	0	-383	-2.2882	118.090	15.472	1
src/table.rs	fold	41724	16738	5394	11344	0	0	0.0000	0.000	0.000	1
src/table.rs	order0	41724	15813	4110	11703	0	-925	-5.5263	0.000	0.000	1
src/table.rs	order1_byte	41724	21623	10	21613	0	4885	29.1851	0.000	0.000	1
src/table.rs	order1_tok	41724	16109	4110	11999	0	-629	-3.7579	0.000	0.000	1
src/tans.rs	context	32293	13323	4114	9209	0	-498	-3.6032	92.017	13.669	1
src/tans.rs	fold	32293	13821	5394	8427	0	0	0.0000	0.000	0.000	1
src/tans.rs	order0	32293	12872	4110	8762	0	-949	-6.8664	0.000	0.000	1
src/tans.rs	order1_byte	32293	17188	10	17178	0	3367	24.3615	0.000	0.000	1
src/tans.rs	order1_tok	32293	13165	4110	9055	0	-656	-4.7464	0.000	0.000	1
