input	chunk	run	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	fold_bytes	encode_us	decode_us	ok
corpus_set/precompressed/z.zst	1	0	order1_tok	65536	80808	3734	77074	0	70199	0	0	1
corpus_set/precompressed/z.zst	1	0	order1_byte	65536	66555	10	66545	0	70199	0	0	1
corpus_set/precompressed/z.zst	1	0	context	65536	81095	3738	77357	0	70199	199332	38534	1
corpus_set/precompressed/z.zst	1	1	context	65536	81095	3738	77357	0	70199	204656	38188	1
corpus_set/precompressed/z.zst	1	2	context	65536	81095	3738	77357	0	70199	205595	38519	1
corpus_set/precompressed/z.zst	2	0	fold	65536	70520	5279	65241	0	70520	0	0	1
corpus_set/precompressed/z.zst	2	0	order0	65536	69742	4018	65724	0	70520	0	0	1
corpus_set/precompressed/z.zst	2	0	order1_tok	65536	81246	4018	77228	0	70520	0	0	1
corpus_set/precompressed/z.zst	2	0	order1_byte	65536	66480	10	66470	0	70520	0	0	1
corpus_set/precompressed/z.zst	2	0	context	65536	81608	4022	77586	0	70520	213258	40418	1
corpus_set/precompressed/z.zst	2	1	context	65536	81608	4022	77586	0	70520	216396	40461	1
corpus_set/precompressed/z.zst	2	2	context	65536	81608	4022	77586	0	70520	215247	41509	1
corpus_set/precompressed/z.zst	3	0	fold	65536	70139	4859	65280	0	70139	0	0	1
corpus_set/precompressed/z.zst	3	0	order0	65536	69423	3682	65741	0	70139	0	0	1
corpus_set/precompressed/z.zst	3	0	order1_tok	65536	80666	3682	76984	0	70139	0	0	1
corpus_set/precompressed/z.zst	3	0	order1_byte	65536	66524	10	66514	0	70139	0	0	1
corpus_set/precompressed/z.zst	3	0	context	65536	80956	3686	77270	0	70139	201718	38506	1
corpus_set/precompressed/z.zst	3	1	context	65536	80956	3686	77270	0	70139	196203	37153	1
corpus_set/precompressed/z.zst	3	2	context	65536	80956	3686	77270	0	70139	204922	36113	1
corpus_set/precompressed/z.zst	4	0	fold	65536	70179	4904	65275	0	70179	0	0	1
corpus_set/precompressed/z.zst	4	0	order0	65536	69451	3718	65733	0	70179	0	0	1
corpus_set/precompressed/z.zst	4	0	order1_tok	65536	80736	3718	77018	0	70179	0	0	1
corpus_set/precompressed/z.zst	4	0	order1_byte	65536	66537	10	66527	0	70179	0	0	1
corpus_set/precompressed/z.zst	4	0	context	65536	81030	3722	77308	0	70179	200303	37335	1
corpus_set/precompressed/z.zst	4	1	context	65536	81030	3722	77308	0	70179	200743	37575	1
corpus_set/precompressed/z.zst	4	2	context	65536	81030	3722	77308	0	70179	202252	37120	1
corpus_set/precompressed/z.zst	5	0	fold	65536	70276	5014	65262	0	70276	0	0	1
corpus_set/precompressed/z.zst	5	0	order0	65536	69538	3806	65732	0	70276	0	0	1
corpus_set/precompressed/z.zst	5	0	order1_tok	65536	80885	3806	77079	0	70276	0	0	1
corpus_set/precompressed/z.zst	5	0	order1_byte	65536	66508	10	66498	0	70276	0	0	1
corpus_set/precompressed/z.zst	5	0	context	65536	81171	3810	77361	0	70276	205256	38591	1
corpus_set/precompressed/z.zst	5	1	context	65536	81171	3810	77361	0	70276	203009	35921	1
corpus_set/precompressed/z.zst	5	2	context	65536	81171	3810	77361	0	70276	206128	38853	1
corpus_set/precompressed/z.zst	6	0	fold	65536	70465	5209	65256	0	70465	0	0	1
corpus_set/precompressed/z.zst	6	0	order0	65536	69694	3962	65732	0	70465	0	0	1
corpus_set/precompressed/z.zst	6	0	order1_tok	65536	81188	3962	77226	0	70465	0	0	1
corpus_set/precompressed/z.zst	6	0	order1_byte	65536	66505	10	66495	0	70465	0	0	1
corpus_set/precompressed/z.zst	6	0	context	65536	81528	3966	77562	0	70465	212952	37170	1
corpus_set/precompressed/z.zst	6	1	context	65536	81528	3966	77562	0	70465	219859	40245	1
corpus_set/precompressed/z.zst	6	2	context	65536	81528	3966	77562	0	70465	212666	40249	1
corpus_set/precompressed/z.zst	7	0	fold	65536	70286	5024	65262	0	70286	0	0	1
corpus_set/precompressed/z.zst	7	0	order0	65536	69547	3814	65733	0	70286	0	0	1
corpus_set/precompressed/z.zst	7	0	order1_tok	65536	80903	3814	77089	0	70286	0	0	1
corpus_set/precompressed/z.zst	7	0	order1_byte	65536	66509	10	66499	0	70286	0	0	1
corpus_set/precompressed/z.zst	7	0	context	65536	81218	3818	77400	0	70286	208027	39897	1
corpus_set/precompressed/z.zst	7	1	context	65536	81218	3818	77400	0	70286	207179	39036	1
corpus_set/precompressed/z.zst	7	2	context	65536	81218	3818	77400	0	70286	205246	36785	1
