corpus	jobs	run	raw	arc_bytes	arc_blake3	create_ms	extract_ms	ok
text-large	1	3	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16013	50	true
text-large	1	4	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16255	47	true
text-large	2	0	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15757	48	true
text-large	2	1	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15633	47	true
text-large	2	2	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15644	47	true
text-large	2	3	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15766	48	true
text-large	2	4	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16018	50	true
text-large	4	0	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15836	48	true
text-large	4	1	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16047	48	true
text-large	4	2	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16217	48	true
text-large	4	3	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16411	57	true
text-large	4	4	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15732	48	true
text-large	8	0	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15861	46	true
text-large	8	1	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15996	49	true
text-large	8	2	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16238	47	true
text-large	8	3	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16129	47	true
text-large	8	4	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16316	47	true
tiny	1	0	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	8	true
tiny	1	1	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	11	true
tiny	1	2	1	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	10	true
