class	arch	lane	run	files	bytes	chunks	raw_bytes	payload_bytes	replay_bytes	total_bytes	delta_bytes	delta_percent	median_compress_ms	ok
installer	i386	bcj-x86	0	1	2630848	3	439270	442765	5	442770	3500	0.796776	8245	1
installer	i386	bcj-x86	1	1	2630848	3	439270	442765	5	442770	3500	0.796776	8307	1
installer	i386	bcj-x86	2	1	2630848	3	439270	442765	5	442770	3500	0.796776	8415	1
installer	i386	raw-aahl	0	1	2630848	3	439270	439270	0	439270	0	0.000000	8303	1
installer	i386	raw-aahl	1	1	2630848	3	439270	439270	0	439270	0	0.000000	8403	1
installer	i386	raw-aahl	2	1	2630848	3	439270	439270	0	439270	0	0.000000	8453	1
installer	i386	xz-x86-9e	0	1	2630848	3	439270	245984	0	245984	-193286	-44.001639	1463	1
installer	i386	zstd-x86-19	0	1	2630848	3	439270	280436	0	280436	-158834	-36.158627	204	1
installer	unknown	bcj-base0	0	5	52831	5	41634	41633	25	41658	24	0.057645	12	1
installer	unknown	bcj-base0	1	5	52831	5	41634	41633	25	41658	24	0.057645	13	1
installer	unknown	bcj-base0	2	5	52831	5	41634	41633	25	41658	24	0.057645	12	1
installer	unknown	bcj-x64	0	5	52831	5	41634	41663	25	41688	54	0.129702	12	1
installer	unknown	bcj-x64	1	5	52831	5	41634	41663	25	41688	54	0.129702	12	1
installer	unknown	bcj-x64	2	5	52831	5	41634	41663	25	41688	54	0.129702	12	1
installer	unknown	bcj-x86	0	5	52831	5	41634	41634	25	41659	25	0.060047	12	1
installer	unknown	bcj-x86	1	5	52831	5	41634	41634	25	41659	25	0.060047	12	1
installer	unknown	bcj-x86	2	5	52831	5	41634	41634	25	41659	25	0.060047	13	1
installer	unknown	raw-aahl	0	5	52831	5	41634	41634	0	41634	0	0.000000	13	1
installer	unknown	raw-aahl	1	5	52831	5	41634	41634	0	41634	0	0.000000	12	1
installer	unknown	raw-aahl	2	5	52831	5	41634	41634	0	41634	0	0.000000	12	1
installer	unknown	xz-x86-9e	0	5	52831	5	41634	32640	0	32640	-8994	-21.602536	20	1
installer	unknown	zstd-x86-19	0	5	52831	5	41634	32770	0	32770	-8864	-21.290292	12	1
