input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
table.csv	6	0	arith-lit	1048576	0	0	4939800	4939912	617489	617489	1.000000	20887	54586	1
table.csv	6	1	arith-lit	1048576	0	0	4939800	4939912	617489	617489	1.000000	20532	55788	1
table.csv	6	2	arith-lit	1048576	0	0	4939800	4939912	617489	617489	1.000000	20091	53763	1
table.csv	6	0	tans-tok	1048576	886	28376	1090693	1151952	143994	140760	1.022975	4617	2836	1
table.csv	6	1	tans-tok	1048576	886	28376	1090693	1151952	143994	140760	1.022975	4810	2904	1
table.csv	6	2	tans-tok	1048576	886	28376	1090693	1151952	143994	140760	1.022975	4771	2929	1
table.csv	6	0	arith-tok	1048576	0	0	1093200	1126080	140760	140760	1.000000	3103	7920	1
table.csv	6	1	arith-tok	1048576	0	0	1093200	1126080	140760	140760	1.000000	3337	8063	1
table.csv	6	2	arith-tok	1048576	0	0	1093200	1126080	140760	140760	1.000000	3332	8123	1
table.csv	6	0	tans-recut	140760	256	8216	1124319	1132600	141575	140760	1.005790	4035	1843	1
table.csv	6	1	tans-recut	140760	256	8216	1124319	1132600	141575	140760	1.005790	4006	1855	1
table.csv	6	2	tans-recut	140760	256	8216	1124319	1132600	141575	140760	1.005790	3953	1804	1
table.csv	7	0	tans-lit	1048576	39	1272	4933056	4934440	616805	617575	0.998753	27536	13985	1
table.csv	7	1	tans-lit	1048576	39	1272	4933056	4934440	616805	617575	0.998753	30539	14598	1
table.csv	7	2	tans-lit	1048576	39	1272	4933056	4934440	616805	617575	0.998753	33930	14658	1
table.csv	7	0	arith-lit	1048576	0	0	4940488	4940600	617575	617575	1.000000	17481	50507	1
table.csv	7	1	arith-lit	1048576	0	0	4940488	4940600	617575	617575	1.000000	18042	50281	1
table.csv	7	2	arith-lit	1048576	0	0	4940488	4940600	617575	617575	1.000000	18207	50494	1
table.csv	7	0	tans-tok	1048576	884	28312	1111386	1172584	146573	143303	1.022819	4185	2521	1
table.csv	7	1	tans-tok	1048576	884	28312	1111386	1172584	146573	143303	1.022819	4626	2767	1
table.csv	7	2	tans-tok	1048576	884	28312	1111386	1172584	146573	143303	1.022819	4148	2527	1
table.csv	7	0	arith-tok	1048576	0	0	1113544	1146424	143303	143303	1.000000	2979	7413	1
table.csv	7	1	arith-tok	1048576	0	0	1113544	1146424	143303	143303	1.000000	2964	8091	1
table.csv	7	2	arith-tok	1048576	0	0	1113544	1146424	143303	143303	1.000000	2978	7530	1
table.csv	7	0	tans-recut	143303	256	8216	1144723	1153008	144126	143303	1.005743	4195	1877	1
table.csv	7	1	tans-recut	143303	256	8216	1144723	1153008	144126	143303	1.005743	4100	1884	1
table.csv	7	2	tans-recut	143303	256	8216	1144723	1153008	144126	143303	1.005743	4079	1873	1
table.csv	8	0	tans-lit	740233	39	1272	3481388	3482776	435347	435828	0.998896	19674	9289	1
table.csv	8	1	tans-lit	740233	39	1272	3481388	3482776	435347	435828	0.998896	19797	9222	1
table.csv	8	2	tans-lit	740233	39	1272	3481388	3482776	435347	435828	0.998896	19233	8908	1
table.csv	8	0	arith-lit	740233	0	0	3486512	3486624	435828	435828	1.000000	12476	36097	1
table.csv	8	1	arith-lit	740233	0	0	3486512	3486624	435828	435828	1.000000	12470	36198	1
table.csv	8	2	arith-lit	740233	0	0	3486512	3486624	435828	435828	1.000000	12478	36473	1
table.csv	8	0	tans-tok	740233	916	29336	777291	839512	104939	101692	1.031930	3052	1766	1
table.csv	8	1	tans-tok	740233	916	29336	777291	839512	104939	101692	1.031930	3003	1763	1
table.csv	8	2	tans-tok	740233	916	29336	777291	839512	104939	101692	1.031930	2977	1759	1
table.csv	8	0	arith-tok	740233	0	0	780656	813536	101692	101692	1.000000	2245	5408	1
table.csv	8	1	arith-tok	740233	0	0	780656	813536	101692	101692	1.000000	2246	5411	1
table.csv	8	2	arith-tok	740233	0	0	780656	813536	101692	101692	1.000000	2226	5391	1
table.csv	8	0	tans-recut	101692	256	8216	811126	819408	102426	101692	1.007218	2827	1378	1
table.csv	8	1	tans-recut	101692	256	8216	811126	819408	102426	101692	1.007218	2770	1368	1
table.csv	8	2	tans-recut	101692	256	8216	811126	819408	102426	101692	1.007218	2796	1367	1
large.txt	0	0	tans-lit	1048576	68	2200	4597706	4600024	575003	575255	0.999562	31063	15378	1
large.txt	0	1	tans-lit	1048576	68	2200	4597706	4600024	575003	575255	0.999562	29499	15623	1
large.txt	0	2	tans-lit	1048576	68	2200	4597706	4600024	575003	575255	0.999562	29251	15422	1
large.txt	0	0	arith-lit	1048576	0	0	4601928	4602040	575255	575255	1.000000	21563	51559	1
large.txt	0	1	arith-lit	1048576	0	0	4601928	4602040	575255	575255	1.000000	20526	52826	1
large.txt	0	2	arith-lit	1048576	0	0	4601928	4602040	575255	575255	1.000000	20989	52369	1
large.txt	0	0	tans-tok	1048576	919	29432	1938684	2001000	250125	246419	1.015039	7108	4027	1
large.txt	0	1	tans-tok	1048576	919	29432	1938684	2001000	250125	246419	1.015039	8567	4074	1
large.txt	0	2	tans-tok	1048576	919	29432	1938684	2001000	250125	246419	1.015039	7295	3974	1
large.txt	0	0	arith-tok	1048576	0	0	1938472	1971352	246419	246419	1.000000	5276	13452	1
large.txt	0	1	arith-tok	1048576	0	0	1938472	1971352	246419	246419	1.000000	5335	13388	1
